23	21	0
24	22	0
25	23	0
26	24	0
27	25	0
28	26	0
29	27	0
30	28	0
32	29	0
33	30	0
33	29	0
33	28	0
32	28	0
31	28	0
34	28	0
33	27	0
32	27	0
31	26	0
32	26	0
33	26	0
31	25	0
32	25	0
29	24	0
28	24	0
27	24	0
25	24	0
24	24	0
30	24	0
31	24	0
30	23	0
29	23	0
29	22	0
28	21	0
29	21	0
30	21	0
34	27	0
35	27	0
35	28	0
36	28	0
36	29	0
37	29	0
38	29	0
39	29	0
40	29	0
41	29	0
41	28	0
40	28	0
39	28	0
38	28	0
37	28	0
41	28	0
41	27	0
40	27	0
39	25	0
39	24	0
40	23	0
39	23	0
38	23	0
37	23	0
36	23	0
35	23	0
37	23	0
37	22	0
36	21	0
35	20	0
34	19	0
33	19	0
34	20	0
43	25	0
42	25	0
42	26	0
42	27	0
42	28	0
43	28	0
43	29	0
44	29	0
45	30	0
46	30	0
47	29	0
46	28	0
46	27	0
46	26	0
45	25	0
45	24	0
44	23	0
44	22	0
43	22	0
43	21	0
48	27	0
49	27	0
49	28	0
50	28	0
50	29	0
51	29	0
52	29	0
53	29	0
54	29	0
55	29	0
55	28	0
54	28	0
53	28	0
52	28	0
51	28	0
55	28	0
55	27	0
54	27	0
53	25	0
53	24	0
54	23	0
53	23	0
52	23	0
51	23	0
50	23	0
49	23	0
51	23	0
51	22	0
50	21	0
49	20	0
48	19	0
47	19	0
48	20	0
